Model,Feature Set,CV Accuracy Mean,CV Accuracy Std,Mean Fit Time (s)
Decision Tree,Full (all features),0.9984996790060944,0.00021506041169387768,1.604785680770874
Decision Tree,Reduced (redundant dropped),0.9984996771156244,0.00017100456026928948,1.3721986293792725
Logistic Regression,Full (all features),0.9728672011245523,0.0015782371415957945,7.30499849319458
Logistic Regression,Reduced (redundant dropped),0.97136688139096,0.0015713984927560474,6.853177404403686
Random Forest,Full (all features),0.998888649481886,0.00020082884571347105,7.904850006103516
Random Forest,Reduced (redundant dropped),0.9988172076805443,0.0001595496066203216,7.599723196029663
