Model,Accuracy,Precision,Recall,F1 Score,MCC,ROC-AUC
Decision Tree,0.8250532292405962,0.968581971534001,0.7158887243824515,0.8232816560623711,0.687291523940111,0.8426728831981104
Random Forest,0.7774574166075231,0.9683604985618408,0.6296267435517806,0.7630920338102658,0.6178447079235494,0.959816307591105
Logistic Regression,0.7552342086586231,0.9173798927308,0.6264318553728668,0.7444897203185775,0.5606241153920267,0.8079453664339769
